ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ
2016/3/1,OKF,201603,9.45,9.6,9.29,9.52,-0.19,-1.96%,928,9.52,864,9.52,9.54,12.48,9.11,
2016/3/1,OKF,201604,9.38,9.57,9.28,9.48,-0.2,-2.07%,100,9.48,51,9.46,9.49,10.1,9.28,
2016/3/1,OKF,201606,-,-,-,-,-,-,-,9.48,264,-,9.49,11.93,9.2,
2016/3/1,OKF,201609,-,-,-,-,-,-,-,9.3,5,-,9.49,11.89,11.88,
2016/3/1,OKF,201612,-,-,-,-,-,-,-,9.65,0,-,9.49,-,-,
2016/3/1,OJF,201603,15.21,15.4,15.07,15.31,-0.05,-0.33%,260,15.31,446,15.33,15.37,18.57,14.75,
2016/3/1,OJF,201604,15.06,15.09,14.96,14.96,-0.27,-1.77%,57,15.22,337,15.19,15.24,15.81,14.85,
2016/3/1,OJF,201606,-,-,-,-,-,-,-,15.19,258,-,15.26,18.51,15.48,
2016/3/1,OJF,201609,-,-,-,-,-,-,-,15.35,1,-,15.26,17.75,17.75,
2016/3/1,OJF,201612,-,-,-,-,-,-,-,15.75,0,-,15.26,-,-,
2016/3/1,OIF,201603,30.6,31.3,30.6,31.1,0.75,2.47%,9,31.1,47,27.7,33.35,31.3,27.9,
2016/3/1,OIF,201604,-,-,-,-,-,-,-,31.3,11,-,-,31.05,29.35,
2016/3/1,OIF,201606,-,-,-,-,-,-,-,30.5,0,-,-,-,-,
2016/3/1,OIF,201609,-,-,-,-,-,-,-,30.8,0,-,-,-,-,
2016/3/1,OIF,201612,-,-,-,-,-,-,-,31.15,0,-,-,-,-,
2016/3/1,OHF,201603,154,158.5,154,158.5,7.5,4.97%,6,158.5,7,144,166,158.5,130,
2016/3/1,OHF,201604,-,-,-,-,-,-,-,157,0,144,163.5,-,-,
2016/3/1,OHF,201606,-,-,-,-,-,-,-,158.5,0,-,-,-,-,
2016/3/1,OHF,201609,-,-,-,-,-,-,-,158,0,-,-,-,-,
2016/3/1,OHF,201612,-,-,-,-,-,-,-,156,0,-,-,-,-,
2016/3/1,OGF,201603,32,32,31.75,31.75,0.1,0.32%,4,31.75,16,31.3,32.05,32,26,
2016/3/1,OGF,201604,-,-,-,-,-,-,-,30.65,5,27.5,32.7,29.65,29.35,
2016/3/1,OGF,201606,-,-,-,-,-,-,-,31.85,0,-,-,-,-,
2016/3/1,OGF,201609,-,-,-,-,-,-,-,32.45,0,-,-,-,-,
2016/3/1,OGF,201612,-,-,-,-,-,-,-,31.7,0,-,-,-,-,
2016/3/1,OFF,201603,-,-,-,-,-,-,-,90.5,1,82.5,97.4,94.3,88.4,
2016/3/1,OFF,201604,89,91.2,89,91.2,2.3,2.59%,2,91.2,0,82.5,97.5,91.2,89,
2016/3/1,OFF,201606,-,-,-,-,-,-,-,92.2,0,-,-,-,-,
2016/3/1,OFF,201609,-,-,-,-,-,-,-,92.2,0,-,-,-,-,
2016/3/1,OFF,201612,-,-,-,-,-,-,-,91,0,-,-,-,-,
2016/3/1,OEF,201603,4.21,4.22,4.19,4.22,0.03,0.72%,58,4.22,257,4.19,4.24,4.55,3.97,
2016/3/1,OEF,201604,4.21,4.23,4.2,4.21,0.02,0.48%,245,4.21,203,4.2,4.23,4.38,3.98,
2016/3/1,OEF,201606,-,-,-,-,-,-,-,4.22,0,-,-,-,-,
2016/3/1,OEF,201609,-,-,-,-,-,-,-,4.14,0,-,-,-,-,
2016/3/1,OEF,201612,-,-,-,-,-,-,-,4.24,0,-,-,-,-,
2016/3/1,ODF,201603,-,-,-,-,-,-,-,375.5,1,342,388,397.5,380,
2016/3/1,ODF,201604,-,-,-,-,-,-,-,375.5,1,342,393.5,388,376,
2016/3/1,ODF,201606,-,-,-,-,-,-,-,379,0,-,-,-,-,
2016/3/1,ODF,201609,-,-,-,-,-,-,-,377.5,0,-,-,-,-,
2016/3/1,ODF,201612,-,-,-,-,-,-,-,373.5,0,-,-,-,-,
2016/3/1,OCF,201603,19.44,19.51,19.01,19.4,-0.2,-1.02%,596,19.4,1149,19.38,19.41,22.7,18.54,
2016/3/1,OCF,201604,19.05,19.4,18.92,19.4,-0.12,-0.61%,90,19.29,172,19.26,19.31,20.43,18.92,
2016/3/1,OCF,201606,-,-,-,-,-,-,-,19.93,253,-,19.34,24.52,20.81,
2016/3/1,OCF,201609,-,-,-,-,-,-,-,19.93,4,-,19.34,24.66,20.83,
2016/3/1,OCF,201612,-,-,-,-,-,-,-,19.3,16,-,19.34,19.21,18.67,
2016/3/1,OBF,201603,24,24.65,23.97,24.44,-0.08,-0.33%,566,24.44,1029,24.43,24.48,27.32,23.46,
2016/3/1,OBF,201604,23.87,24.34,23.87,24.34,-0.03,-0.12%,61,24.34,105,24.28,24.35,25.46,23.81,
2016/3/1,OBF,201606,-,-,-,-,-,-,-,24.88,282,-,24.37,30.4,24.44,
2016/3/1,OBF,201609,-,-,-,-,-,-,-,25.6,2,-,24.37,30.82,30.82,
2016/3/1,OBF,201612,-,-,-,-,-,-,-,25.43,0,-,24.37,-,-,
2016/3/1,OAF,201603,25.89,26,25.29,25.82,-0.23,-0.88%,5293,25.82,5835,25.81,25.82,42.11,24.76,
2016/3/1,OAF,201604,25.7,25.8,25.18,25.69,-0.23,-0.89%,479,25.69,995,25.65,25.68,27.29,25.18,
2016/3/1,OAF,201606,-,-,-,-,-,-,-,25.04,30,23.3,25.71,33.34,24.94,
